범죄자 직업,,,,,,,,,,,,,,,,,,,,범죄자 직업,,,,,,,,,,,,,,,,,,범죄자 직업,,,,,,,,,,,,,,,,,,
Ⅳ-1-3,,,,,,,,,,,,,,,,,,,,Ⅳ-1-3,,,,,,,,,,,,,,,,,,Ⅳ-1-3,,,,,,,,,,,,,,,,,,
구분,,계,자영업,,,,,,,,,,,,,,,,,구분,,피고용자,,,,,,,,,,,,,,,,구분,,전문직,,,,,,,,공무원,기타,,,,,,무직자,미상
,,,소계,농.임.수산업,광업,제조업,건설업,도.소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,,,소계,교원(사립),사무원,기술자,점원,공원,운전사,경비원,외판원,국공영기업체직원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,,,소계,의사,변호사,교수,종교가,언론인,예술인,기타전문직,,소계,학생,주부,전경.의경,공익요원,기타,,
계,,1723815,368277,47455,149,9447,27264,17835,1957,22443,3351,18260,1581,8352,1032,3001,4197,640,201313,계,,670413,1358,3088,4729,4003,5581,98040,4617,5517,666,293609,2052,9506,12941,92664,132042,계,,45609,5481,465,1230,5143,1016,2192,30082,11090,258435,112644,45469,170,2529,97623,301343,68648
구성비,,-100,-21,-3,0,-1,-2,-1,0,-1,0,-1,0,-1,0,0,0,0,-12,구성비,,-39,0,0,0,0,0,-6,0,0,0,-17,0,-1,-1,-5,-8,구성비,,-3,0,0,0,0,0,0,-2,-1,-15,-7,-3,0,0,-6,-18,-4
강력범죄,소계,23782,3083,370,2,60,159,147,20,237,60,212,21,59,9,36,40,8,1643,강력범죄,소계,8474,21,32,58,72,213,782,95,76,9,3281,21,146,221,1631,1816,강력범죄,소계,669,90,5,19,94,9,38,414,198,4522,3407,74,12,91,938,6569,267
강력범죄,살인기수,446,55,12,0,1,2,3,0,3,0,2,0,3,0,1,0,0,28,,살인기수,129,0,0,2,1,11,19,2,0,0,29,0,1,2,41,21,,살인기수,12,2,0,0,4,0,0,6,0,44,14,18,0,1,11,192,14
강력범죄,살인미수등,610,86,15,0,2,5,5,0,5,0,12,0,4,0,0,2,0,36,,살인미수등,217,1,2,2,1,19,25,1,0,0,46,0,1,4,73,42,,살인미수등,6,1,0,0,2,0,0,3,4,34,7,11,0,1,15,253,10
강력범죄,강도,3322,236,10,0,4,9,11,1,22,6,35,0,2,2,7,2,0,125,,강도,708,0,0,0,10,28,32,4,8,0,200,3,48,16,190,169,,강도,30,5,0,0,3,0,1,21,6,640,522,18,0,7,93,1636,66
강력범죄,강간강제추행,18012,2500,302,1,48,121,123,19,187,52,156,21,45,7,23,33,6,1356,,강간강제추행,7013,20,30,50,57,151,633,85,63,9,2920,18,93,187,1174,1523,,강간강제추행,602,80,5,19,81,9,35,373,186,3559,2670,17,12,79,781,3984,168
강력범죄,방화,1392,206,31,1,5,22,5,0,20,2,7,0,5,0,5,3,2,98,,방화,407,0,0,4,3,4,73,3,5,0,86,0,3,12,153,61,,방화,19,2,0,0,4,0,2,11,2,245,194,10,0,3,38,504,9
절도범죄,,104434,8508,1180,11,209,625,540,44,440,99,450,17,143,15,84,148,94,4409,절도,,21949,27,91,174,371,467,1597,244,293,11,7010,47,348,718,4731,5820,절도,,1270,33,5,14,153,13,90,962,201,36438,29866,2918,17,190,3447,35113,955
폭력범죄,소계,400282,81590,8949,28,1762,5752,3833,441,7098,928,5345,257,1792,138,656,1466,181,42964,폭력범죄,소계,159799,251,632,1374,1139,2450,20010,2030,1212,151,59783,344,2843,4018,30398,33164,폭력범죄,소계,8554,552,43,229,1038,205,624,5863,1810,66091,37882,8494,84,849,18782,79482,2956
