"               구  분
  죄  종",,계,자영업,,,,,,,,,,,,,,,,,피고용자,,,,,,,,,,,,,,,,전문직,,,,,,,,공무원,기타,,,,,,무직자,미상
,,,소계,농.임.수산업,광업,제조업,건설업,도.소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,소계,교원(사립),사무원,기술자,점원,공원,운전사,경비원,외판원,국공영기업체직원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,소계,의사,변호사,교수,종교가,언론인,예술인,기타전문직,,소계,학생,주부,전경.의경,공익요원,기타,,
"계
(%)",,1741302,307157,44563,99,6918,30675,6168,2086,13618,2007,11535,1538,7661,495,1519,3407,158,174710,592642,1672,2374,10346,2170,4033,83153,4545,5069,332,296116,1580,6053,10203,72790,92206,42600,5058,487,1042,5139,907,2484,27483,9889,381372,92104,42525,114,2285,244344,299894,107748
,,-100,-18,-3,0,0,-2,0,0,-1,0,-1,0,0,0,0,0,0,-10,-34,0,0,-1,0,0,-5,0,0,0,-17,0,0,-1,-4,-5,-2,0,0,0,0,0,0,-2,-1,-22,-5,-2,0,0,-14,-17,-6
강력범죄 ,소계,25351,2779,407,1,51,179,49,25,157,37,112,18,62,6,14,34,3,1624,7731,54,13,199,55,159,669,98,62,7,3523,27,110,195,1352,1208,676,88,7,28,99,11,48,395,178,6369,3114,75,13,80,3087,6428,1190
강력범죄 ,살인기수,377,41,12,0,1,2,1,0,0,0,3,0,0,0,0,0,0,22,86,0,1,4,0,4,5,4,0,0,21,0,2,2,27,16,5,1,0,0,1,0,1,2,2,62,7,15,0,0,40,155,26
강력범죄 ,살인미수등,620,69,23,0,0,9,2,1,5,0,3,0,1,0,1,2,0,22,169,1,1,4,0,5,20,1,0,0,40,0,2,6,62,27,6,0,0,0,2,0,1,3,1,97,19,10,0,4,64,248,30
강력범죄 ,강도,2593,147,10,0,2,10,5,0,8,1,20,2,4,0,0,5,0,80,475,0,2,7,1,20,28,2,6,0,137,0,35,9,109,119,12,0,0,0,2,0,2,8,9,537,325,7,0,5,200,1214,199
강력범죄 ,강간,5856,674,112,0,11,43,9,8,38,12,28,7,15,1,7,4,0,379,1786,9,2,41,12,51,145,21,17,2,778,4,34,50,295,325,157,21,3,7,27,1,12,86,34,1677,897,4,1,25,750,1247,281
강력범죄 ,유사강간,136,20,1,0,0,0,1,0,2,0,0,0,0,0,0,2,0,14,37,1,0,0,0,0,5,0,0,0,19,0,0,0,6,6,6,2,0,0,1,0,0,3,4,35,21,0,1,0,13,28,6
강력범죄 ,강제추행,12496,1534,188,1,36,98,28,16,80,14,45,8,37,5,3,17,3,955,4354,40,7,113,34,65,392,66,36,5,2265,21,28,103,628,551,442,62,4,21,55,10,30,260,124,3004,1265,11,10,32,1686,2538,500
