범죄대분류,범죄중분류,계,자영업(소계),자영업(농·임·수산업),자영업(광업),자영업(제조업),자영업(건설업),자영업(도·소매업),자영업(무역업),자영업(요식업),자영업(숙박업),자영업(유흥업),자영업(금융업),자영업(부동산업),자영업(의료보건업),자영업(차량정비업),자영업(노점),자영업(행상),기타사업),피고용자(소계),피고용자(교원(사립)),피고용자(사무원),피고용자(기술자),피고용자(점원),피고용자(공원),피고용자(운전사),피고용자(경비원),피고용자(외판원),피고용자(국공영기업체직원),피고용자(일반회사원),피고용자(금융기관직원),피고용자(유흥업종사자),피고용자(요식업종사자),피고용자(일용노동자),피고용자(기타피고용자),전문직(소계),전문직(의사),전문직(변호사),전문직(교수),전문직(종교가),전문직(언론인),전문직(예술인),전문직(기타전문직),공무원,기타(소계),기타(학생),기타(주부),기타(전경·의경),기타(공익요원),기타(기타),무직자,미상
강력범죄,살인기수,447,50,17,0,1,3,1,0,2,1,1,0,3,0,0,1,0,20,89,1,1,4,0,4,6,1,0,0,29,0,0,1,32,10,15,7,0,1,1,0,0,6,6,59,15,12,0,1,31,196,32
강력범죄,살인미수등,575,59,12,0,0,2,0,0,4,0,2,0,1,0,0,4,0,34,195,1,0,4,0,5,30,1,2,0,51,0,0,11,59,31,8,0,0,1,1,0,1,5,1,68,9,6,0,1,52,213,31
강력범죄,강도,2078,157,6,0,2,14,1,1,6,0,13,6,5,0,1,1,0,101,370,0,1,10,1,11,29,2,1,0,106,0,15,5,87,102,14,2,1,0,1,0,1,9,6,422,240,20,0,8,154,959,150
강력범죄,강간,5517,634,96,0,5,38,5,2,35,15,35,5,12,1,1,8,0,376,1642,11,4,30,10,37,141,13,19,1,746,3,36,33,226,332,139,13,2,6,23,4,17,74,29,1615,896,2,4,29,684,1172,286
강력범죄,유사강간,389,39,3,0,0,4,1,0,1,0,2,0,0,0,0,0,0,28,117,0,1,3,1,6,17,2,1,0,44,0,3,1,19,19,8,1,0,0,1,0,0,6,3,128,83,0,0,2,43,74,20
강력범죄,강제추행,13400,1742,216,0,44,145,22,14,83,12,54,6,45,6,6,20,2,1067,4535,50,22,106,29,71,364,88,31,8,2350,15,35,107,637,622,463,56,0,14,49,9,38,297,129,3143,1340,18,7,28,1750,2813,575
강력범죄,기타강간·강제추행등,1193,107,36,0,0,0,1,1,4,6,5,0,1,0,0,1,0,52,315,3,0,11,1,9,34,2,1,1,107,0,3,10,68,65,26,1,0,0,9,0,2,14,7,333,219,2,0,2,110,336,69
강력범죄,방화,1466,161,35,0,2,16,1,0,5,0,5,0,4,0,0,0,0,93,357,0,0,19,1,5,43,6,1,0,96,0,4,11,114,57,11,1,0,0,2,1,0,7,5,320,149,27,0,2,142,551,61
절도범죄,절도범죄,95645,6546,1070,7,129,701,92,46,300,57,169,24,137,9,20,99,4,3682,18338,30,48,393,158,333,1335,255,196,10,7273,22,207,573,3231,4274,1229,32,1,13,153,6,109,915,102,34018,21980,2651,8,149,9230,28885,6527
폭력범죄,상해,66885,13183,2122,1,218,1254,123,63,783,83,469,22,390,11,68,209,10,7357,23256,76,84,659,90,272,2776,408,172,12,10270,38,256,546,4089,3508,1511,129,7,30,220,31,138,956,269,14207,3464,1508,6,116,9113,12770,1689
