범죄대분류,범죄중분류,자영업(소계),자영업(농.임.수산업),자영업(광업),자영업(제조업),자영업(건설업),자영업(도.소매업),자영업(무역업),자영업(요식업),자영업(숙박업),자영업(유흥업),자영업(금융업),자영업(부동산업),자영업(의료보건업),자영업(차량정비업),자영업(노점),자영업(행상),자영업(기타사업),피고용자(소계),피고용자(교원(사립)),피고용자(사무원),피고용자(기술자),피고용자(점원),피고용자(공원),피고용자(운전사),피고용자(경비원),피고용자(외판원),피고용자(국공영기업체직원),피고용자(일반회사원),피고용자(금융기관직원),피고용자(유흥업종사자),피고용자(요식업종사자),피고용자(일용노동자),피고용자(기타피고용자),전문직(소계),전문직(의사),전문직(변호사),전문직(교수),전문직(종교가),전문직(언론인),전문직(예술인),전문직(기타전문직),공무원,기타(소계),기타(학생),기타(주부),기타(전경.의경),기타(공익요원),기타(기타),무직자,미상
강력범죄,살인기수,52,16,0,1,5,1,0,4,0,1,0,4,1,0,1,0,18,130,1,1,1,1,6,12,1,1,0,30,0,1,0,32,43,8,3,0,1,2,0,0,2,2,32,10,16,0,0,6,156,9
강력범죄,살인미수등,84,18,0,2,8,0,0,2,1,1,1,3,0,1,2,2,43,184,0,0,5,1,6,30,1,0,0,39,1,3,6,58,34,12,1,0,0,1,1,2,7,4,36,13,13,0,1,9,254,12
강력범죄,강도,150,5,0,1,12,4,2,6,0,11,2,4,0,1,2,0,100,413,0,1,12,5,27,21,1,1,2,106,0,17,7,98,115,20,0,0,0,2,1,2,15,0,274,224,6,0,6,38,1088,54
강력범죄,강간,846,89,0,23,56,14,7,42,15,38,3,18,2,6,16,1,516,2025,13,8,70,19,26,136,22,21,2,870,4,38,42,270,484,216,14,0,6,39,3,20,134,32,1117,890,1,1,38,187,1265,120
강력범죄,유사강간,66,6,0,0,5,1,0,7,0,3,0,1,1,0,0,0,42,179,3,1,5,1,3,16,3,1,0,73,0,2,7,23,41,32,3,0,0,4,0,2,23,1,139,116,2,0,2,19,109,9
강력범죄,강제추행,2304,230,0,57,168,44,11,114,19,52,8,64,21,14,22,2,1478,5799,72,34,143,40,76,447,103,45,9,2849,34,35,149,740,1023,731,84,2,33,65,6,55,486,233,1977,1453,15,10,42,457,3192,252
강력범죄,기타 강간 강제추행등,70,18,0,1,2,0,0,1,3,1,0,1,0,0,2,1,40,234,3,1,4,4,8,21,1,1,0,65,0,1,7,48,70,19,0,0,0,5,0,1,13,4,162,128,0,0,5,29,183,14
강력범죄,방화,266,55,0,11,22,5,1,8,3,3,0,4,0,6,9,2,137,419,0,1,23,3,10,39,1,5,1,100,0,6,18,129,83,25,0,0,0,7,0,0,18,5,182,110,29,0,5,38,588,32
절도범죄,절도,9935,1366,2,174,867,249,35,379,65,238,31,215,45,86,141,52,5990,25119,43,85,556,290,365,1702,408,249,10,9273,25,277,811,4401,6624,1905,45,6,27,142,12,161,1512,169,29054,23477,2944,4,185,2444,34491,2493
폭력범죄,상해,14544,2117,7,247,1287,264,67,845,115,453,31,365,38,91,252,9,8356,24556,65,95,766,174,289,2698,406,199,22,10105,32,295,596,4158,4656,1865,103,10,40,225,34,133,1320,330,7237,3688,1490,6,127,1926,12862,665
폭력범죄,폭행,43383,3321,12,737,3972,669,242,1975,288,1343,80,1025,79,261,641,22,28716,77052,213,333,2373,466,504,9575,1226,711,67,33712,173,810,1866,10802,14221,5917,260,36,90,528,117,560,4326,850,20668,9781,5123,13,323,5428,41185,3253
폭력범죄,체포 감금,320,21,0,7,20,5,1,16,1,15,4,21,4,0,0,0,205,410,0,1,9,2,3,73,7,7,0,180,5,4,7,45,67,100,22,1,2,22,0,4,49,11,130,41,38,0,3,48,244,11
폭력범죄,협박,2401,291,1,46,241,61,13,72,21,36,12,82,3,15,27,3,1477,3268,12,18,103,16,31,432,60,25,5,1292,15,9,79,591,580,326,21,3,11,33,5,34,219,64,788,261,198,1,13,315,2165,185
폭력범죄,약취 유인,34,5,0,0,3,1,0,1,0,3,1,1,0,1,1,0,17,51,0,0,0,0,0,3,0,0,0,28,0,1,3,5,11,15,2,1,0,5,0,1,6,1,37,13,7,0,1,16,103,11
폭력범죄,폭력행위등,12978,1380,5,217,1248,229,74,663,65,477,23,302,34,79,203,9,7970,26402,46,115,727,172,587,1922,266,292,24,11948,49,235,595,4182,5242,2000,53,9,36,345,54,178,1325,211,13180,9575,1329,4,185,2087,17197,1034
폭력범죄,공갈,479,44,0,16,39,9,3,21,8,15,4,23,1,2,8,0,286,671,3,6,10,8,4,54,5,11,0,272,2,9,13,108,166,94,6,3,1,18,32,4,30,12,643,502,45,0,7,89,946,85
